Device,Part Number,Quantity,Ship Date,Order Type,Product Family
8137AM4,IS65WV6416BLL-XDN19-WR,3356,1/5/2015,3,SRAM
N502AY2,IS66WVE4M16ALL-70BLI,803,1/5/2015,3,SRAM
N502AY2,IS66WVE4M16ALL-70BLI,637,1/5/2015,3,SRAM
N502AY2,IS66WVE4M16ALL-70BLI,480,1/5/2015,3,SRAM
A012AT2,IS62WV12816BLL-55TLI-TR,1000,1/5/2015,3,SRAM
A015AT2,IS62WV25616BLL-55TLI,270,1/5/2015,3,SRAM
A015AT2,IS62WV25616BLL-55TLI,178,1/5/2015,3,SRAM
A015AT2,IS62WV25616BLL-55TLI,99,1/5/2015,3,SRAM
A015AT2,IS62WV25616BLL-55TLI,53,1/5/2015,3,SRAM
A015AT2,IS62WV25616BLL-55TLI,750,1/5/2015,3,SRAM
8149AM1,IS64WV25616BLL-10BLA3-TR,5000,1/5/2015,3,SRAM
8146AM1,IS61WV102416BLL-10TLI-TR,1500,1/5/2015,3,SRAM
8152AM1,IS61WV12816DBLL-10BLI-TR,2500,1/5/2015,3,SRAM
8142AM7,IS62C1024AL-35TLI-TR,6000,1/5/2015,3,SRAM
8146AM1,IS61WV51216BLL-10MLI,440,1/5/2015,3,SRAM
A017AT2,IS62WV51216BLL-55TLI,65,1/5/2015,3,SRAM
A017AT2,IS62WV51216BLL-55TLI,1960,1/5/2015,3,SRAM
A015AT2,IS62WV25616BLL-55TLI-TR,1000,1/5/2015,3,SRAM
8142AM7,IS62C1024AL-35TLI,4835,1/5/2015,3,SRAM
8142AM7,IS62C1024AL-35TLI,312,1/5/2015,3,SRAM
8142AM7,IS62C1024AL-35TLI,624,1/5/2015,3,SRAM
8142AM7,IS62C1024AL-35TLI,2029,1/5/2015,3,SRAM
8142AM7,IS62C1024AL-35TLI,468,1/5/2015,3,SRAM
8149AM1,IS64WV25616BLL-10BLA3-TR,5000,1/5/2015,3,SRAM
8142AM7,IS62C1024AL-35QLI,2688,1/5/2015,3,SRAM
8142AM7,IS61C1024AL-12JLI,1232,1/5/2015,3,SRAM
8149AM1,IS61WV5128BLL-10TLI-TR,2000,1/5/2015,3,SRAM
8149AM6,IS61C5128AS-25QLI-TR,2000,1/5/2015,3,SRAM
8134AM1,IS61LV25616AL-10TLI,136,1/5/2015,3,SRAM
8134AM1,IS61LV25616AL-10TLI,674,1/5/2015,3,SRAM
A017AT4,IS62WV51216BLL-55BLI,2496,1/5/2015,3,SRAM
8166AM1,IS61WV1288EEBLL-10HLI,12324,1/5/2015,3,SRAM
8149AM1,IS61WV5128BLL-10TLI-TR,775,1/5/2015,3,SRAM
8149AM1,IS61WV5128BLL-10TLI-TR,856,1/5/2015,3,SRAM
8149AM1,IS61WV5128BLL-10TLI-TR,5369,1/5/2015,3,SRAM
A012AT2,IS62WV12816BLL-55BLI,1920,1/5/2015,3,SRAM
8146AM1,IS61WV102416BLL-10MLI,440,1/5/2015,3,SRAM
A015AT1,IS62WV5128BLL-55HLI,3085,1/5/2015,3,SRAM
A015AT1,IS62WV5128BLL-55HLI,1361,1/5/2015,3,SRAM
N503AY1,IS66WV51216DBLL-55TLI,405,1/5/2015,3,SRAM
N503AY1,IS66WV51216DBLL-55TLI,6615,1/5/2015,3,SRAM
8146AM1,IS61WV102416ALL-20TLI,166,1/5/2015,3,SRAM
8146AM1,IS61WV102416ALL-20TLI,122,1/5/2015,3,SRAM
8130AWB,IS63LV1024L-10HL,913,1/5/2015,3,SRAM
8130AWB,IS63LV1024L-10HL,1247,1/5/2015,3,SRAM
8143AM4,IS61LV256AL-10TLI,1350,1/5/2015,3,SRAM
8130AWB,IS63LV1024L-10HL,2160,1/5/2015,3,SRAM
A017AT2,IS62WV51216BLL-55TLI,135,1/5/2015,3,SRAM
8146AM1,IS61WV51216BLL-10TLI,135,1/5/2015,3,SRAM
8137AM3,IS62WV1288BLL-55HLI,1440,1/5/2015,3,SRAM
8130AWB,IS63LV1024L-10HL,1080,1/5/2015,3,SRAM
8146AM1,IS61WV51216BLL-10MLI,220,1/5/2015,3,SRAM
N502AY1,IS67WVE4M16BLL-70BLA1-TR,5000,1/5/2015,3,SRAM
N503AY1,IS66WV1M16DBLL-70BLI,480,1/5/2015,3,SRAM
A015AT1,IS62WV5128BLL-55T2LI-TR,673,1/5/2015,3,SRAM
A015AT1,IS62WV5128BLL-55T2LI-TR,327,1/5/2015,3,SRAM
8142AM7,IS62C1024AL-35QLI,58,1/5/2015,3,SRAM
8142AM7,IS62C1024AL-35QLI,88,1/5/2015,3,SRAM
8142AM7,IS62C1024AL-35QLI,526,1/5/2015,3,SRAM
N503AY1,IS66WV51216DBLL-55TLI,405,1/5/2015,3,SRAM
8130AWL,IS64LV6416L-12BA3-TR,537,1/5/2015,3,SRAM
8130AWL,IS64LV6416L-12BA3-TR,1963,1/5/2015,3,SRAM
N503AY1,IS66WV51216DBLL-55TLI-TR,1000,1/5/2015,3,SRAM
8152AM1,IS61WV12816DBLL-10TLI-TR,1000,1/5/2015,3,SRAM
8143AM6,IS61C256AL-12JLI-TR,1000,1/5/2015,3,SRAM
8142AM5,IS63WV1024BLL-12BLI-TR,5000,1/5/2015,3,SRAM
8130AWL,IS61LV6416-10TLI-TR,1000,1/5/2015,3,SRAM
